product_id,size,length,material,durability,intended_use,warranty,BPA_free,Brand,IP_1,PVC_free,SPF_1,UPF_protection,accessory,accuracy,action,activity,additional_safety_layer,adjustable_cuffs,adjustable_breathers,adjustable_harness,adjustment_range,adjustment_types,age_group,alcohol_free,allergy_friendly,angle,antibacterial_properties,area_coverage,armchair_dimensions,aroma,assembled,assembly_required,attach_type,attachability,attachable,attachment_method,autolucko,automatic_height_adjustment,available_sizes,backing_material,backrest,base,batteries,battery,benefits,body_shampoo_size,body_lotion_volume,booster_functionality,bottom_depth,bottom_thickness,breathability,bruttotilavuus,cable_type,caffeine_content,calf_high,calories,candle_size,candle_weight,capacity,carbohydrates,category,certified,charging_method,charging_time,chest_pocket,cleaning_ease,climate,cn,coat,cofein_concentration,collar,color,comfort,compatible_gas,compatible_with,connection,container_size,contains_artificial_additives,contains_gluten,content_type,copper,count,cover,cream,current,cutting,delicate_area,density,depth,design,diameter,dimension_type,dimension_unit,dimensions_per_pack,divan_size,doors,drawers_count,durable,duration,ease_of_use,easy_to_assemble,easy_to_clean,eco_friendly,ecological,edge_condition,edition,edp_volume,edtSpray,efficiency,energialuokka,energiankulutus,energy,environmental_benefits,eristyskaulus_on,eristyskulos_on,etim_code,extension_available,extension_height,fabric_quality,fat,fiber,fibre,fill_material,filling,filter_type,finish,fireproof_shield,fit,fixation,fixed,fixing,flavor,flexibility,flexible_seat_belt,floor_material,foldable,folded_length,folded_size,footbed_material,formulation,fragrance,frame,free_hanging,fruit_percentage,fuel_consumption,function,gender,glass_thickness,grade,grip,guarantee,guard_condition,hair_body_mist_size,handle,hanger_length,hanger_type,hanging_capability,hanging_height,harness,heel_counter,height,hemline,hihnan_leveys,hinge_type,hood_type,hook_type,housing_type,hygiene,ilmavuus,included_in_package,included_accessories,included_items,includes,indoor_outdoor_use,ingredients,inner_material,inner_layer,input,insole,install_method,install_type,installation,installing_method,insulating_material,insulation_type,ip,iron,is_suitable_for_all_ages,is_suitable_for_different_sizes,item_number,jalat,jalkavaimuus,johdon_pituus,kangasverhoilu,kanna,kcal_per_100g,key_feature,knee_pad_material,knee_pads,laiden_korkeus,lajjapak,lamellin_dimensions,lamellin_size,lamellin_length,lamellin_thickness,lamellin_width,lamp_post_type,lamp_socket_type,lamp_type,lamp_base,lamp_kan,lamp_size,lamppukanta,lamps,lampu_kanta,latex_free,layer_count,layers,led_technology,led_type,leg_height,leg_color,leg_length,leg_material,leg_type,leg_width,legs,leverage_type,lids,lifespan,light_bulb_lifespan,light_source,light_mode,limited_edition,liner,liquid_volume,liukkaan_pinnan_vastustuskyky,lmp_koristale_on,lmp_tila_T_comf_sammuu,lmp_ttala_T_comf,lmp_ttala_T_lim,load_capacity,load_carrying_capacity,lock,longevity,lower_base_depth,lumen_output,lumen_power,lumen_rating,lumens,machine_made,made_of,magnesium,main_use,main_characteristics,manganese,materiaali,max_bulb_wattage,max_power,max_wattage,max_lamp_power,max_lampputeho,max_load_capacity,max_load_shelf,max_load_table,mechanism,metal_type,min_order_quantity,mist_volume,mobility,moisture_wicking,motor_count,mounting_method,mounting_base_diameter,mounting_type,moving_speed,mukavuusalue,natural_ingredients,nauhan_leveys,neckline,noise_level,nuckle_length,num_layers,num_libell,num_of_Handles,num_of_tassels,num_shelves,number_of_hooks,number_of_people,number_of_pockets,number_of_baskets,number_of_burners,number_of_chairs,number_of_coils,number_of_colours,number_of_doors,number_of_drawers,number_of_items,number_of_packs,number_of_pads,number_of_parts,number_of_patches,number_of_pieces,number_of_poles,number_of_products,number_of_programs,number_of_seats,number_of_stores,number_of_tables,numberofentrances,nutrient_content,nutritional_value_per_100g,occasion,odor_control,oekoTex_certified,openable,opening_type,operating_temperature,origin,other_features,outdoor,outer_layer,outsole,oven_depth,oven_width,oven_volume,package,packaging,packing_size,packing_limitation,packing_dimensions,packing_quantity,packing_type,packing_weight,padded,pairs_per_patch,pakastusteho,pallet_size,patja,pattern,percentage_of_active_ingredient,personcount,pinn_on,pituus,pnnn_on,pnp_tila_on,pnp_tila_raja_on,pocket,pohjakuvio,polarization,polvityyny_tasku,polyester_weight,polyesterikanka,portability,power,practical,precision,prescription,preservatives,professional_care,protective_rating,protein,purification_method,purpose,pystykahvat_on,quality,quantity,rare_nutritions,raspberry_content,rating,rechargeable,recommended_use,reflectivity,region,reinforced,reinforcement,replaceability,replacement_frequency,replacement_interval,right_handed,rjalmp_ttala_T_min,safety_features,safety_rating,sallittu_maksimiteho,salt,saturated_fat,scent,screen_frame,season,seat,security_features,sensitive_skin,shade,shape,shelf,shelves,shipping,shower_gel,side_support,side_table_dimensions,sitting_depth,sitting_height,skin_condition,skin_type_suitability,sleeve_length_adjustment,sleeve_type,sleeves,socket_size,socket_type,sofa_size,sohvan_size,solarpanel_current,solarpanel_volt,sole_material,sole_type,spf,standard,storage_requirement,storage_space,strap_material,structure,style,sugar,suitability,suitable_for,suitable_gas_types,suitable_temperature_range,suojausluokka,surface,sustainability,table_material,table_size,tackle_type,target_audience,target_market,target_use,task_pockets,tasku_type,technology,teho,temperature,tent_type,termostaatti_on,terrain,terry_material,terry_width,tested_for_safety,tested_on_animals,testing_standard,thickness,tiamin,tolerance,tray_thickness,tunnel_system,tuolin_size,turvalasihyllyt,type,tyyny_length,tyyny_material,tyyny_thickness,tyyny_width,unit,upper_material,upper_shelf_size,usage,use,variant,vegetarian,ventilation,vest,virranjohdon_pituus,vitaminC,vitamins,voltage,volume,wall_mountable,warmth,water_flow_type,water_resistance_rating,waterproof,wattage,weather_protection,weather_resistance_rating,weather_conditions,weight,wheel_material,wheel_color,width,wind_resistance,windows,winter_performance,zink,back_support
6430073675302,11cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,various (by color code 004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417783138280,6,,steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN-14450 S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417783167785,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5887,S,150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,150g,,,155cm,,,,,
56117-013,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900113459274,,170m,terass/messinki,,,,,,,,,,,0.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12kk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265g,,,,,,,,
4313,20cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35kg,,,,,,,,
4306,koke 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6kpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430073673421,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-reflective,,,harmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linear,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5217,M/L,,neoprene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,näppyläpinnoitettu sisäpuoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,suojatut sormet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400g,,,,,,,,
