product_id,size,length,material,durability,intended_use,warranty,BPA_free,Brand,IP_1,PVC_free,SPF_1,UPF_protection,accessory,accuracy,action,activity,additional_safety_layer,adjustable_cuffs,adjustable_breathers,adjustable_harness,adjustment_range,adjustment_types,age_group,alcohol_free,allergy_friendly,angle,antibacterial_properties,area_coverage,armchair_dimensions,aroma,assembled,assembly_required,attach_type,attachability,attachable,attachment_method,autolucko,automatic_height_adjustment,available_sizes,backing_material,backrest,base,batteries,battery,benefits,body_shampoo_size,body_lotion_volume,booster_functionality,bottom_depth,bottom_thickness,breathability,bruttotilavuus,cable_type,caffeine_content,calf_high,calories,candle_size,candle_weight,capacity,carbohydrates,category,certified,charging_method,charging_time,chest_pocket,cleaning_ease,climate,cn,coat,cofein_concentration,collar,color,comfort,compatible_gas,compatible_with,connection,container_size,contains_artificial_additives,contains_gluten,content_type,copper,count,cover,cream,current,cutting,delicate_area,density,depth,design,diameter,dimension_type,dimension_unit,dimensions_per_pack,divan_size,doors,drawers_count,durable,duration,ease_of_use,easy_to_assemble,easy_to_clean,eco_friendly,ecological,edge_condition,edition,edp_volume,edtSpray,efficiency,energialuokka,energiankulutus,energy,environmental_benefits,eristyskaulus_on,eristyskulos_on,etim_code,extension_available,extension_height,fabric_quality,fat,fiber,fibre,fill_material,filling,filter_type,finish,fireproof_shield,fit,fixation,fixed,fixing,flavor,flexibility,flexible_seat_belt,floor_material,foldable,folded_length,folded_size,footbed_material,formulation,fragrance,frame,free_hanging,fruit_percentage,fuel_consumption,function,gender,glass_thickness,grade,grip,guarantee,guard_condition,hair_body_mist_size,handle,hanger_length,hanger_type,hanging_capability,hanging_height,harness,heel_counter,height,hemline,hihnan_leveys,hinge_type,hood_type,hook_type,housing_type,hygiene,ilmavuus,included_in_package,included_accessories,included_items,includes,indoor_outdoor_use,ingredients,inner_material,inner_layer,input,insole,install_method,install_type,installation,installing_method,insulating_material,insulation_type,ip,iron,is_suitable_for_all_ages,is_suitable_for_different_sizes,item_number,jalat,jalkavaimuus,johdon_pituus,kangasverhoilu,kanna,kcal_per_100g,key_feature,knee_pad_material,knee_pads,laiden_korkeus
6430073675302,11cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,various (by color code 004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417783138280,6,,steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417783167785,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5887,S,150cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56117-013,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900113459274,,170m,terass/messinki,,,,,,,,,,,0.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12kk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4313,20cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,koke 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430073673421,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-reflective,,,harmaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5217,M/L,,neoprene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
